Column: cg05114959, Index: 101850
Column: cg16488065, Index: 303079
Column: cg06840930, Index: 133564
Column: cg21845080, Index: 388123
Column: cg13663644, Index: 252482
Column: cg07125112, Index: 139220
Column: cg05694250, Index: 112597
Column: cg00025663, Index: 627
Column: cg26006084, Index: 453859
Column: cg21179255, Index: 378135
Column: cg19238349, Index: 347509
Column: cg00075956, Index: 1761
Column: cg27292099, Index: 475984
Column: cg09892104, Index: 188863
Column: cg14524643, Index: 270220
Column: cg00685314, Index: 14458
Column: cg10732611, Index: 203479
Column: cg01462537, Index: 30444
Column: cg13977620, Index: 258867
Column: cg07887608, Index: 153356
Column: cg17831440, Index: 325015
Column: cg06614284, Index: 128913
Column: cg02579668, Index: 52532
Column: cg04770218, Index: 95183
Column: cg24837075, Index: 435628
Column: cg15706621, Index: 289964
Column: cg14157213, Index: 262632
Column: cg25741810, Index: 449946
Column: cg06182099, Index: 121442
Column: cg19909658, Index: 358696
Column: cg01302562, Index: 27225
Column: cg08257293, Index: 160232
Column: cg24219671, Index: 425666
Column: cg20824635, Index: 372791
Column: cg23194295, Index: 408795
Column: cg06455686, Index: 126039
Column: cg08568767, Index: 165785
Column: cg01001314, Index: 21092
Column: cg19130824, Index: 346060
Column: cg09993945, Index: 190523
Column: cg03980408, Index: 80040
Column: cg00920139, Index: 19342
Column: cg14382249, Index: 267331
Column: cg12314335, Index: 229801
Column: cg05240350, Index: 104276
Column: cg01229943, Index: 25813
Column: cg27363617, Index: 477312
Column: cg11711057, Index: 219506
Column: cg15605096, Index: 288157
Column: cg15825510, Index: 291831
Column: cg00476608, Index: 10122
Column: cg20143985, Index: 362399
Column: cg14434293, Index: 268388
Column: cg07033549, Index: 137415
Column: cg14152974, Index: 262533
Column: cg00981060, Index: 20636
Column: cg20064139, Index: 361186
Column: cg22335847, Index: 395292
Column: cg22409504, Index: 396377
Column: cg07804749, Index: 151888
Column: cg08216099, Index: 159463
Column: cg18478353, Index: 335900
Column: cg00553967, Index: 11766
Column: cg19854704, Index: 357743
Column: cg03784611, Index: 76455
Column: cg23412778, Index: 412557
Column: cg19407717, Index: 350166
Column: cg13887180, Index: 256973
Column: cg08709333, Index: 168293
Column: cg13913666, Index: 257532
Column: cg27604145, Index: 481360
Column: cg02239163, Index: 45700
Column: cg01173650, Index: 24708
Column: cg21821315, Index: 387749
Column: cg14478255, Index: 269235
Column: cg05528516, Index: 109668
Column: cg09839204, Index: 187877
Column: cg03573168, Index: 72267
Column: cg23315892, Index: 410992
Column: cg20692730, Index: 370659
Column: cg07648709, Index: 149114
Column: cg03158772, Index: 64175
Column: cg01584939, Index: 32824
Column: cg02784874, Index: 56735
Column: cg25705266, Index: 449332
Column: cg08795535, Index: 169718
Column: cg01097897, Index: 23164
Column: cg11363229, Index: 213952
Column: cg02822745, Index: 57381
Column: cg25496467, Index: 446146
Column: cg15065821, Index: 279779
Column: cg04814352, Index: 96056
Column: cg08454125, Index: 163695
Column: cg07423997, Index: 144855
Column: cg07010687, Index: 136942
Column: cg17809181, Index: 324611
Column: cg22496559, Index: 397530
Column: cg14802502, Index: 275412
Column: cg08467887, Index: 163992
Column: cg08043565, Index: 156174
Column: cg23225103, Index: 409409
Column: cg01017395, Index: 21425
Column: cg05787063, Index: 114224
Column: cg21239227, Index: 379342
Column: cg21962907, Index: 389993
Column: cg24979161, Index: 437988
Column: cg16803509, Index: 308947
Column: cg02927679, Index: 59590
Column: cg19263548, Index: 347978
Column: cg26270261, Index: 458352
Column: cg17206604, Index: 315250
Column: cg08225389, Index: 159638
Column: cg25606172, Index: 447883
Column: cg21765032, Index: 386917
Column: cg03654169, Index: 73890
Column: cg22708944, Index: 400835
Column: cg06828335, Index: 133262
Column: cg18337363, Index: 333547
Column: cg00864954, Index: 18226
Column: cg00638073, Index: 13555
Column: cg12340343, Index: 230100
Column: cg17519749, Index: 320501
Column: cg27032813, Index: 471717
Column: cg16058274, Index: 295757
Column: cg26146988, Index: 456230
Column: cg14186245, Index: 263267
Column: cg17107617, Index: 313578
Column: cg08001580, Index: 155451
Column: cg26057765, Index: 454664
Column: cg14501638, Index: 269683
Column: cg23521905, Index: 414285
Column: cg15602741, Index: 288103
Column: cg04622480, Index: 92558
Column: cg12621303, Index: 234702
