Column: icgc_sample_id, Index: 0
Column: cg02401556, Index: 49116
Column: cg03039315, Index: 61876
Column: cg17877220, Index: 325832
Column: cg04454285, Index: 89318
Column: cg01291875, Index: 26994
Column: cg23214071, Index: 409188
Column: cg04730365, Index: 94445
Column: cg19477190, Index: 351264
Column: cg00870279, Index: 18331
Column: cg11400946, Index: 214563
Column: cg08205236, Index: 159251
Column: cg11965913, Index: 224050
Column: cg26233230, Index: 457720
Column: cg11138227, Index: 210089
Column: cg08883213, Index: 171425
Column: cg23364711, Index: 411828
Column: cg09159022, Index: 176094
Column: cg10822582, Index: 204991
Column: cg20328167, Index: 365129
Column: cg00187437, Index: 4166
Column: cg23837623, Index: 419158
Column: cg17669009, Index: 322571
Column: cg08532569, Index: 165156
Column: cg04105342, Index: 82452
Column: cg18115693, Index: 329769
Column: cg06534313, Index: 127494
Column: cg09706801, Index: 185664
Column: cg01138671, Index: 23968
Column: cg13035910, Index: 240972
Column: cg14893161, Index: 276893
Column: cg00155314, Index: 3478
Column: cg12894371, Index: 238849
Column: cg17131579, Index: 313950
Column: cg15967169, Index: 294140
Column: cg16471877, Index: 302832
Column: cg11453400, Index: 215403
Column: cg18453481, Index: 335444
Column: cg02639927, Index: 53844
Column: cg10947611, Index: 206960
Column: cg03034634, Index: 61778
Column: cg25132241, Index: 440449
Column: cg22799420, Index: 402217
Column: cg07235253, Index: 141524
Column: cg24577279, Index: 431239
Column: cg16351010, Index: 300651
Column: cg14159672, Index: 262673
Column: cg05105919, Index: 101726
Column: cg03888083, Index: 78284
Column: cg20556216, Index: 368483
Column: cg05431842, Index: 107978
Column: cg02363934, Index: 48283
Column: cg04307083, Index: 86519
Column: cg12164232, Index: 227453
Column: cg23346773, Index: 411524
Column: cg27086014, Index: 472624
Column: cg04777726, Index: 95338
Column: cg21806273, Index: 387525
Column: cg04389328, Index: 88082
Column: cg18926212, Index: 343073
Column: cg03108070, Index: 63189
Column: cg17598923, Index: 321643
Column: cg04622454, Index: 92552
Column: cg11654813, Index: 218529
Column: cg24581226, Index: 431311
Column: cg07086380, Index: 138430
Column: cg27295716, Index: 476058
Column: cg25341032, Index: 443597
Column: cg22095650, Index: 391825
Column: cg17967224, Index: 327195
Column: cg08077345, Index: 156761
Column: cg06984903, Index: 136458
Column: cg13984330, Index: 259024
Column: cg21142743, Index: 377436
Column: cg11942059, Index: 223605
Column: cg03205252, Index: 65034
Column: cg16947791, Index: 311065
Column: ch.8.253600F, Index: 485216
Column: cg03252313, Index: 65932
Column: cg18394854, Index: 334410
Column: cg08598483, Index: 166299
Column: cg19734465, Index: 355608
Column: cg16320159, Index: 300099
Column: cg09157251, Index: 176068
Column: cg07787851, Index: 151562
Column: cg14860438, Index: 276397
Column: cg13757735, Index: 254413
Column: cg23691894, Index: 417109
Column: cg15576730, Index: 287651
Column: cg14073571, Index: 260936
Column: cg23041109, Index: 406320
Column: cg17163967, Index: 314509
Column: cg26354017, Index: 459921
Column: cg07398767, Index: 144459
Column: cg02224164, Index: 45397
Column: cg12033483, Index: 225098
Column: cg20299573, Index: 364659
Column: cg19694770, Index: 354836
Column: cg08735716, Index: 168765
Column: cg06753439, Index: 131659
Column: cg19369556, Index: 349535
Column: cg19086858, Index: 345391
Column: cg05165378, Index: 102843
Column: cg16401270, Index: 301557
Column: cg16272777, Index: 299274
Column: cg06805320, Index: 132751
Column: cg19954602, Index: 359506
Column: cg02651288, Index: 54074
Column: cg13941508, Index: 258161
Column: cg19784449, Index: 356562
Column: cg07717903, Index: 150343
Column: cg10515131, Index: 199754
Column: cg00806461, Index: 17027
Column: cg00106989, Index: 2484
Column: cg26586942, Index: 463985
Column: cg26356169, Index: 459961
Column: cg16338877, Index: 300456
Column: cg10974412, Index: 207427
Column: cg00420808, Index: 8912
Column: cg04322429, Index: 86831
Column: cg12429629, Index: 231450
Column: cg14434242, Index: 268381
Column: cg08817983, Index: 170104
Column: cg02443967, Index: 49767
Column: cg07981471, Index: 155116
Column: cg07381470, Index: 144143
Column: cg27546012, Index: 480353
Column: cg25161912, Index: 440957
Column: cg02109405, Index: 43320
Column: cg06358671, Index: 124352
Column: cg04736453, Index: 94553
Column: cg17609057, Index: 321780
Column: cg14999934, Index: 278672
Column: cg25601713, Index: 447793
Column: cg08083599, Index: 156882
Column: cg26572354, Index: 463721
Column: cg07031797, Index: 137380
Column: cg02386822, Index: 48751
Column: cg07125905, Index: 139235
Column: cg02741229, Index: 55832
Column: cg10454596, Index: 198646
Column: cg27083089, Index: 472578
Column: cg17264618, Index: 316114
Column: cg05454635, Index: 108299
Column: cg06375148, Index: 124677
Column: cg04972947, Index: 99180
Column: cg18784113, Index: 340746
Column: cg05449136, Index: 108207
Column: cg25650661, Index: 448582
Column: cg00112367, Index: 2612
Column: cg20555778, Index: 368478
Column: cg19935097, Index: 359175
Column: cg04419610, Index: 88695
Column: cg06220235, Index: 122158
Column: cg13931752, Index: 257943
Column: cg01861555, Index: 38161
Column: cg25494992, Index: 446117
Column: cg14507310, Index: 269800
Column: cg00062020, Index: 1474
Column: cg05461259, Index: 108398
Column: cg27136344, Index: 473511
Column: cg03953671, Index: 79496
Column: cg27616751, Index: 481556
Column: cg27114120, Index: 473132
Column: cg03238090, Index: 65685
Column: cg11951169, Index: 223783
Column: cg02608963, Index: 53123
Column: cg01381846, Index: 28714
Column: cg00166687, Index: 3737
Column: cg13361920, Index: 246141
Column: cg13460409, Index: 248174
Column: cg23473114, Index: 413448
Column: cg10832108, Index: 205154
Column: cg24442454, Index: 429045
Column: cg07501029, Index: 146303
Column: cg22635155, Index: 399614
